Model,Sales,Type
Kia K2,370,ZZZ
VW Transporter/Caravelle,369,ZZZ
AITO M5,365,ZZZ
McLaren 720S Spider,364,ZZZ
Traum MEET3,361,ZZZ
MG Marvel R,358,SUV
Renault Symbol,358,ZZZ
JMEV Yi,356,ZZZ
BAIC X30,352,ZZZ
Audi A3 Sedan,349,ZZZ
KAMAZ 4311,344,ZZZ
Citroen SpaceTourer,341,ZZZ
Roewe Marvel X,338,ZZZ
EV YOUNG Guangxiaoxin,337,ZZZ
Changhe Freedom M50,335,ZZZ
Mahindra,335,ZZZ
MG T60,325,ZZZ
Kia Rondo,324,ZZZ
McLaren GT,321,ZZZ
Chana Oshan A800,318,ZZZ
VW T Roc,317,ZZZ
Beijing BJ90,315,SUV
DFSK iX5,312,ZZZ
Porsche,309,ZZZ
Alfa Romeo,308,ZZZ
Henrey Xiaohu FEV,307,ZZZ
Mercedes Sprinter 313/316/319/519,304,ZZZ
Renault Lodgy,303,ZZZ
Renault Samsung Twizy,298,ZZZ
Maxus Euniq 6,297,ZZZ
Ssangyong Tivoli,296,SUV
SRM X30L EV,292,ZZZ
BAIC X35,290,ZZZ
Fiat Talento,288,ZZZ
Isuzu Category V,285,ZZZ
DS,280,ZZZ
BMW M5,276,ZZZ
GAC NE GE3,270,ZZZ
MG  5,270,ZZZ
Seat Terraco,266,ZZZ
Mercedes SLC,265,ZZZ
VW Kombi,264,ZZZ
VW Passat Variant,263,ZZZ
Changan CS35,262,SUV
JMC Vigus,262,ZZZ
Qoros 3,261,ZZZ
Audi RS6,259,ZZZ
Citroen C4L,258,ZZZ
Changhe A6,255,ZZZ
Landwind Rongyao,252,SUV
Ravon R2,251,ZZZ
Kia Cadenza,249,ZZZ
Audi S6,244,ZZZ
BAIC M50S,243,ZZZ
Renault Express,240,ZZZ
Citroen C3L,239,ZZZ
Honda,235,ZZZ
Renualt Arkana,235,ZZZ
MAN TGE,232,ZZZ
Changan Eado XT,231,ZZZ
Bentley Coupe/Conv,230,ZZZ
JAC S7,230,SUV
Beijing BJ212,229,ZZZ
JAC GML X150 EV,229,ZZZ
Lotus Exige,227,ZZZ
Ferrari Portofino,226,ZZZ
McLaren 765LT,226,ZZZ
DS 3,225,ZZZ
JAC N721,225,ZZZ
Datsun GO+,221,ZZZ
Aston Martin DBS,220,ZZZ
Acura RLX,216,ZZZ
Ford Connect,216,ZZZ
Lamborghini Aventador,216,ZZZ
Effa V22,212,ZZZ
Jetour X70 Coupe,212,SUV
Opel GrandLand X,211,ZZZ
Hanteng X5,210,SUV
Mercedes A Class Sedan,209,ZZZ
Citroen C4 Aircross,208,ZZZ
McLaren GT  ,207,ZZZ
BMW X6M,205,ZZZ
Renault City K-ZE,205,ZZZ
Ford Tourneo Connect,203,ZZZ
Mg  ZS,203,ZZZ
Mini Convertible,200,ZZZ
DS 4,199,ZZZ
Ford GT,199,ZZZ
VW T Cross,198,ZZZ
Ferrari SF90/Stradale,195,ZZZ
Hyundai Kona/Encino,195,ZZZ
Modern in,194,ZZZ
Audi S7,193,ZZZ
Golden Dragon XML,192,ZZZ
Geely Vision S1,191,ZZZ
Chevrolet Labo,190,ZZZ
McLaren,190,ZZZ
Changhe EC100,189,ZZZ
PAZ 3205,189,ZZZ
Changhe Suzuki Big Dipper,187,ZZZ
Citroen C4 Picasso,186,ZZZ
Rolls-Royce Wraith,186,ZZZ
Weltmeister EX6,186,SUV
Borgward BX3,185,ZZZ
Volvo S90/V90,184,ZZZ
JAC N56,181,ZZZ
Chevrolet Niva,180,ZZZ
Jinbei Haixing A7,179,ZZZ
Kamaz 4514,178,ZZZ
Toyota Fj Cruiser,178,ZZZ
Cadillac CTS,173,ZZZ
Hyundai H-1,173,ZZZ
Audi SQ5,172,SUV
DFSK Glory 580,172,ZZZ
Chevrolet Savana,170,ZZZ
Citroen C4 SpaceTourer,168,ZZZ
JAC iEVS4,167,ZZZ
Kabe Husbil,166,ZZZ
Fiat Qubo,164,ZZZ
Baizhi Daxiong,163,ZZZ
Ferrari 812 Superfast,163,ZZZ
Geely Geometry C,163,ZZZ
Aston Martin V8,160,ZZZ
Hyundai H350,160,ZZZ
Kia Pro Cee’d,160,ZZZ
JAC iEV7S,158,ZZZ
Great Wall C30,157,ZZZ
JAC iEV5,157,ZZZ
Aston Martin Coupe/Conv,156,ZZZ
Ford Mustang (incl. Mach E),156,ZZZ
JAC Refine M5,156,ZZZ
Kia ProCeed,156,ZZZ
Kia K4 Cachet,155,ZZZ
BMW 745LE,154,ZZZ
Ferrari 488,154,ZZZ
Neta U,154,SUV
Hanteng X7,152,SUV
Rolls Royce Dawn,152,ZZZ
Beijing EU5 Plus,151,ZZZ
GAC GE3,151,ZZZ
Nissan Xterra,151,ZZZ
Dongfeng Rich 6,149,ZZZ
Lotus Elise,149,ZZZ
Acura NSX,147,ZZZ
BMW M235i,147,ZZZ
Fiat 500E,146,ZZZ
Dongfeng Gelora,143,ZZZ
Ford Tourneo Courier,143,ZZZ
Smart Fortfour,143,ZZZ
Bentley Continental GT,142,ZZZ
Seres 3,142,ZZZ
Mercedes CLA250,141,ZZZ
Datsun GO,140,ZZZ
Bestune E01,138,SUV
Foton Aumark 1039,138,ZZZ
Lamborghini Coupe/Conv,138,ZZZ
Haima Aishang EV,137,ZZZ
Haval  Jolion,136,ZZZ
Levdeo (Letin) i3,136,ZZZ
Mercedes S class,134,ZZZ
Yutong ZK Series,131,ZZZ
Rolls-Royce Phantom,129,ZZZ
Kia K2700,128,ZZZ
JAC S4,127,SUV
Lexus,127,ZZZ
Suzuki Jimny Sierra,127,ZZZ
Alfa Romeo 4C,126,ZZZ
Jaguar,125,ZZZ
KAMAZ 6520,125,ZZZ
BMW M135i,124,ZZZ
BYD T3,124,ZZZ
Ford Tourneo/Transit Custom,122,ZZZ
Hino 300,122,ZZZ
PAZ 3204,120,ZZZ
Saipa Ario (Zotye Z300),120,ZZZ
VW Golf Sportsvan,120,ZZZ
Hyundai Genesis,119,ZZZ
Lexus UX EV,114,ZZZ
Opel Movano,114,ZZZ
Toyota Proace/Verso,114,ZZZ
Subaru Evoltis,113,ZZZ
Audi RS7,112,ZZZ
Hyundai EX8,112,ZZZ
Maserati Coupe/Conv,112,ZZZ
Ford F-150,111,Pickup Truck
Maxus Euniq5,107,ZZZ
JAC Sei4 Pro,105,ZZZ
Karma Revero,105,ZZZ
UAZ Hunter (3151),105,ZZZ
Lucid Air,103,ZZZ
Suda SA01,102,ZZZ
Hyundai HD Series,101,ZZZ
JAC N80,101,ZZZ
Mahindra KUV100,101,ZZZ
Nissan NP300,101,ZZZ
Polestar 1,100,ZZZ
FAW Besturn X80,99,ZZZ
Hengrun HRS1,99,ZZZ
Chana Kaicene Ruixing ES30 EV,97,ZZZ
JAC JS2,97,ZZZ
Mercedes CL class,97,ZZZ
Opel Ampera/e,97,ZZZ
Audi S3,96,ZZZ
Peugeot Expert Traveller,95,ZZZ
Audi RS Q8,93,SUV
Chevrolet Corvette/Camaro,93,ZZZ
McLaren 720S,93,ZZZ
Rolls Royce Wrath,92,ZZZ
MG Marvel,91,ZZZ
Mercedes X Class,89,ZZZ
Rolls Royce Phantom,89,ZZZ
Rolls-Royce Dawn,87,ZZZ
Zotye TS5,87,ZZZ
Dacia Logan MCV,85,ZZZ
Kia K900,85,ZZZ
VinFast VF e34,85,SUV
BMW I4,82,ZZZ
KAMAZ 4325,82,ZZZ
FAW Trucks,80,ZZZ
Cowin E3,78,ZZZ
Lexus GS,78,ZZZ
Audi RSQ3,76,ZZZ
KAMAZ 53605,76,ZZZ
Mazda MX5,76,ZZZ
Tata Xenon,76,Pickup Truck
Audi S8,74,ZZZ
Ford Focus Combi,73,ZZZ
Hyundai EX9,73,ZZZ
Shacman SX Series,73,ZZZ
DFSK Seres 3,71,ZZZ
Iveco Eurocargo,71,ZZZ
Dodge Neon,70,ZZZ
Dorcen G60S,70,SUV
DS7 Crossback,70,ZZZ
GAC Trumpchi GS7,70,ZZZ
Subaru Legacy/Outback,70,ZZZ
Ravon Nexia R3,69,ZZZ
Dongfeng Fengshen AX4,68,ZZZ
Karry K50,68,ZZZ
Scania P/G/R Series,67,ZZZ
FQT Motor EX80,66,ZZZ
JAC N944,66,ZZZ
Zotye E200,66,ZZZ
BAIC BJ40,65,ZZZ
Yinlong Effie,65,ZZZ
JAC E10X,64,ZZZ
JAC J4,64,ZZZ
Tata Ace,64,Pickup Truck
UAZ Cargo,64,ZZZ
Bentley Mulsanne,63,ZZZ
BMW i8,63,ZZZ
Aston Martin V8 Vantage,62,ZZZ
JAC X350,62,ZZZ
Morgan 4/4,62,ZZZ
Mercedes A class,61,ZZZ
Zedriv GC2,61,ZZZ
Beijing BJ20,59,ZZZ
Abarth,58,ZZZ
Chery Arrizo 7,58,ZZZ
BAIC X65,57,ZZZ
Suzuki,57,ZZZ
Bentley Sedan,56,ZZZ
Hunkt Canticie,56,ZZZ
Dong Feng BWC6665GA5,55,ZZZ
BMW M8,54,ZZZ
BMW i,53,ZZZ
Leopaard CS9,53,SUV
JAC N120,51,ZZZ
Maserati GranTurismo,51,ZZZ
Porsche 718 Boxster,51,ZZZ
JAC Sei7,50,ZZZ
Ssangyong XLV,50,SUV
Subaru Impreza/WRX,50,ZZZ
Opel Combo Life,49,ZZZ
Ravon R3,49,ZZZ
BYD S2,48,ZZZ
FAW Besturn B30,48,ZZZ
Porsche 718 Cayman,48,ZZZ
Dongfeng M-NV,47,ZZZ
Karma GS-6,47,ZZZ
Lotus Evora,47,ZZZ
Citroen Space Tourer,46,ZZZ
Fiat Abarth 500,46,ZZZ
Ford Endura,46,ZZZ
JAC Sei1,45,ZZZ
Chevrolet Tornado,44,ZZZ
Citroen E-C4,44,ZZZ
Beijing EX Series,43,ZZZ
BMW 8 series,43,ZZZ
Hyundai EX6,43,ZZZ
Leopaard Mattu,43,SUV
BAIC D20,42,ZZZ
Alpina B3 Biturbo,41,ZZZ
Mercedes E class,41,ZZZ
Mercedes GLS-Class,41,ZZZ
Opel Zafira Tourer,41,ZZZ
Saleen Maimai,41,ZZZ
Ural 4320,41,ZZZ
Citroen Jumpy/Spacetourer,40,ZZZ
Ferrari SF90 Stradale,40,ZZZ
Isuzu NPR,40,ZZZ
Dongfeng Fengxing Jingye X5,39,ZZZ
MAN TG,39,ZZZ
VW Combi,39,ZZZ
BAIC X25,38,ZZZ
Ferrari Monza,37,ZZZ
JMEV E180,37,ZZZ
Maxus EV80,37,ZZZ
Renault Twizy,37,ZZZ
Skywell D07,37,ZZZ
Beijing Senova D70,36,ZZZ
McLaren 620R,36,ZZZ
Mercedes G class,36,SUV
Changan Benben mini,35,ZZZ
Ferrari GTC4,35,ZZZ
Jaguar E-pace,35,SUV
Lamborghini,35,ZZZ
Isuzu NMR,34,ZZZ
KAMAZ 5490,34,ZZZ
Beijing Senova X35,33,ZZZ
Ferrari 488 GTB,33,ZZZ
Ford Tourneo/Transit Connect,33,ZZZ
JAC X250,33,ZZZ
Maserati MC20,33,ZZZ
Roewe 350,33,ZZZ
Citroen C3 Aircoss,32,ZZZ
JAC N35,32,ZZZ
Rolls-Royce Coupe/Conv,32,ZZZ
Subaru BR-Z,32,ZZZ
Abarth 500,31,ZZZ
Suda SD01,31,ZZZ
Dorcen G60,30,SUV
BMW 2 Series Active/Gran Tourer,29,ZZZ
BAIC BJ40L,28,ZZZ
Chery QQ,28,ZZZ
FAW Bestune X40,28,ZZZ
Ford Courier,28,ZZZ
Jaguar XJ,28,ZZZ
Jinbei F50,28,ZZZ
McLaren 600LT,28,ZZZ
McLaren 600LT Spider,28,ZZZ
Chevrolet Cruze,27,ZZZ
Infiniti Q70,27,ZZZ
Kia KX Cross,27,ZZZ
Levdeo (Letin) i9,27,ZZZ
BMW i4,26,ZZZ
Dongfeng Fengxing F600,26,ZZZ
Isuzu BTF,26,ZZZ
BAIC BJ20,25,ZZZ
Great Wall Steed 6,25,ZZZ
Man Trucks,25,ZZZ
Mercedes Actros,25,ZZZ
Mercedes SL-Class,25,ZZZ
UAZ all models,25,ZZZ
Isuzu Turquoise,24,ZZZ
Rolls-Royce Sedan,24,ZZZ
Brilliance V3,23,SUV
Citroen Jumpy Spacetourer,23,ZZZ
Dongfeng X-NV,23,ZZZ
Hyundai QV,23,ZZZ
Mahindra e-Verito,23,ZZZ
Morgan Plus 4,23,ZZZ
PAZ 4234,23,ZZZ
Roewe W5,23,ZZZ
Hyundai Starex,22,ZZZ
MAZ 6501C9,22,ZZZ
Toyota Prius +,22,ZZZ
Zhidou D2,22,ZZZ
BYD F5 Surui,21,ZZZ
Cadillac SRX,21,ZZZ
Great Wall Steed 7,21,ZZZ
Infiniti Q30,21,ZZZ
Venucia T70,21,SUV
Yema T70,21,ZZZ
Alpina B5 Biturbo,20,ZZZ
Cowin C3,20,ZZZ
Great Wall Wingle 7,20,ZZZ
Liaz 52965,20,ZZZ
Mercedes C class,20,ZZZ
Toyota COMS,20,ZZZ
Zotye SR7,20,SUV
Audi Q4 e-tron Sportback,19,SUV
Lincoln MKC,19,ZZZ
Zotye T300,19,ZZZ
Dongfeng Fengshen AX5,18,ZZZ
Kia Grand Sedona,18,ZZZ
Maxus ERELIV,18,ZZZ
McLaren 765 LT,18,ZZZ
Mercedes B class,18,ZZZ
Zotye SR9,18,ZZZ
Beijing Da Mao (Big cat),17,ZZZ
Bentley Continental Flying Spur,17,ZZZ
Changhe Q7,17,ZZZ
Daewoo BS 090/120,17,ZZZ
Maxus Deliver 9,17,ZZZ
Nissan NV400,17,Van
Cupra Tarraco,16,ZZZ
Jeep Patriot,16,ZZZ
Mercedes CLS-Class,16,ZZZ
MG GS,16,ZZZ
Chrysler 200,15,ZZZ
Huasong 7,15,ZZZ
Lindebjerg S1,15,ZZZ
Man TGS,15,ZZZ
Mini Coupe,15,ZZZ
Opel Ampera-e,15,ZZZ
Toyota GT86,15,ZZZ
Zotye Domy X7,15,ZZZ
Zotye T700,15,ZZZ
Alpina XD3 Biturbo,14,ZZZ
Aston Martin DBS Superleggera,14,ZZZ
BYD G6,14,ZZZ
Cowin X5,14,ZZZ
GAZ 3309,14,ZZZ
Geely King Kong Cross,14,ZZZ
JAC iev,14,ZZZ
Jaguar E Pace,14,ZZZ
Polaris Ranger,14,ZZZ
Beijing Senova X55,13,ZZZ
Bugatti Chiron,13,ZZZ
Citroen C-Zero,13,ZZZ
Dongfeng EX1,13,ZZZ
Hanteng E+,13,ZZZ
MG 5 ,13,ZZZ
Mitsubishi i-MiEV,13,ZZZ
BAIC EU5,12,ZZZ
Brilliance V7,12,SUV
DR 5,12,SUV
DR 6,12,ZZZ
DR F35,12,SUV
Haima S5,12,SUV
Lark Q1,12,ZZZ
MAZ 551626,12,ZZZ
Mercedes SL,12,ZZZ
Toyota Tarago,12,ZZZ
UAZ Patriot Pickup,12,ZZZ
Volvo V40,12,ZZZ
Alpina XB7,11,SUV
Bach YM2000DP,11,ZZZ
Busconcept Sprinter,11,ZZZ
DFSK K Series,11,ZZZ
Ferrari F8 Tributo,11,ZZZ
Ferrari GTC4 Lusso,11,ZZZ
Hyundai H-100 Plkap,11,ZZZ
Kia Grand Carnival,11,ZZZ
MAN TGL,11,ZZZ
Maserati,11,ZZZ
Morgan Plus 6,11,ZZZ
Nilsson Hearse,11,ZZZ
BMW Aut,10,ZZZ
BYD F3DM,10,ZZZ
CF Moto CForce 1000,10,ZZZ
Dodge Dart,10,ZZZ
Hyundai TQ-1/H-1,10,ZZZ
Seat Toledo,10,ZZZ
Ural 4681,10,ZZZ
BYD F0,9,ZZZ
Changan Eado ET,9,ZZZ
Dongfeng Fengshen EX1,9,ZZZ
Eagle EL-GOLFBIL,9,ZZZ
Haima M5 (Family),9,ZZZ
KAMAZ 53504,9,ZZZ
Mitsubishi Outlander PHEV,9,SUV
Skywell ET5,9,ZZZ
Sprintcar Sprinter,9,ZZZ
Zotye T500,9,ZZZ
Zotye T600 Coupe,9,ZZZ
Alpina D3 Biturbo,8,ZZZ
Alpina XD4 Biturbo,8,ZZZ
Audi RSQ8,8,ZZZ
Baojun 560,8,ZZZ
Caterham Seven,8,ZZZ
COS Kosai 3,8,ZZZ
Fiat 500C,8,ZZZ
Hino 500,8,ZZZ
Honda Jazz/Fit,8,ZZZ
JAC E-S2,8,ZZZ
JAC Refine S7,8,ZZZ
KAMAZ 43502,8,ZZZ
Luxgen U5 SUV,8,ZZZ
Maxus Euniq 7,8,ZZZ
McLaren Coupe,8,ZZZ
McLaren Senna,8,ZZZ
Mercedes G Wagon/CC,8,ZZZ
Morgan Plus-4,8,ZZZ
Nissan GTR,8,ZZZ
Nissan Primastar,8,Van
UAZ Patriot LCV (1288),8,ZZZ
Zotye Z700,8,ZZZ
Cadillac XTS,7,ZZZ
Fiat Palio,7,ZZZ
Jaguar I-Pace,7,SUV
Luxgen URX,7,SUV
Man TGL,7,ZZZ
McLaren 570S,7,ZZZ
Morgan,7,ZZZ
Nefaz 5299,7,ZZZ
Nissan Quest,7,Van
VW Beetle,7,ZZZ
Aston Martin Rapide AMR,6,ZZZ
Audi SQ8,6,SUV
Beijing EV Series,6,ZZZ
Beijing Senova X25,6,ZZZ
Can-Am Outlander,6,ZZZ
Changan CX30,6,ZZZ
Chery eQ5,6,SUV
COS Neo II,6,ZZZ
DR 4,6,ZZZ
DR EVO4,6,ZZZ
DR EVO5,6,ZZZ
FAW Bestune B50,6,ZZZ
Ferrari 812 GTS,6,ZZZ
Fisker Karma Revero,6,ZZZ
Haima 6P,6,ZZZ
Haval GWM Poer,6,ZZZ
Haval H5,6,ZZZ
JAC Refine S3,6,ZZZ
Link Tour E Series,6,ZZZ
Mercedes AMG GT R,6,ZZZ
Mercedes AMG GT/GTR/GTS,6,ZZZ
Mini Hatch/Cabrio,6,ZZZ
Morgan Aero,6,ZZZ
Morgan Plus Four,6,ZZZ
Nissan e NV 200,6,ZZZ
Porsche 718 Spyder,6,ZZZ
Scania S Series,6,ZZZ
SWM G01F,6,ZZZ
Toyota Verso,6,ZZZ
Yema EC60,6,ZZZ
Alpina 3,5,ZZZ
Alpina D5 Biturbo,5,ZZZ
ARO,5,ZZZ
Aston Martin Vanquish,5,ZZZ
Audi SQ7,5,SUV
Bach Tria,5,ZZZ
BYD S7,5,ZZZ
Chana CX70,5,SUV
Dongfeng Zhengzhou Shuai,5,ZZZ
Ford Transit Tourneo,5,ZZZ
GAZ 3308,5,ZZZ
Hyundai H1/H100,5,ZZZ
Infiniti QX30,5,ZZZ
JMEV E200L,5,ZZZ
Lincoln MKX,5,ZZZ
Luxgen 6 SUV,5,ZZZ
Mercedes E-Vito,5,ZZZ
Mercedes eVito,5,ZZZ
Morgan Plus-6,5,ZZZ
Opel combo,5,Van
Xingyun Utv,5,ZZZ
XPENG G3,5,SUV
Aeon Cobra,4,ZZZ
Alpina XD3,4,SUV
Brilliance H530,4,ZZZ
Bygg Bil Westfield,4,ZZZ
Byvin E3,4,ZZZ
Chrysler Town & Country,4,Van
Dodge Viper,4,ZZZ
Ferrari 488 Spider,4,ZZZ
Ferrari F8 Spider,4,ZZZ
GAC Aion S,4,ZZZ
Green Tour HS-EV4,4,ZZZ
Haval H8,4,ZZZ
Hino 650,4,ZZZ
Hino 720,4,ZZZ
Honda Jade,4,ZZZ
Hyundai i800,4,ZZZ
Hyundai Universe,4,ZZZ
Iveco Trucks,4,ZZZ
KAMAZ 65206,4,ZZZ
KAMAZ 6580,4,ZZZ
LEVC TX,4,ZZZ
Lite,4,ZZZ
Mazda3 Xingcheng,4,ZZZ
McLaren 570S Spider,4,ZZZ
McLaren 600 LT,4,ZZZ
Mercedes AMG S-Class,4,ZZZ
Morgan Plus,4,ZZZ
Nilsson XC90 Ambulanse,4,ZZZ
Porsche 911 Carrera,4,ZZZ
Renault Trucks,4,ZZZ
Ural 3255,4,ZZZ
Yema T80,4,ZZZ
Audi RS e-tron GT,3,ZZZ
Beijing Hyosow S3L,3,ZZZ
Bentley Unidentified,3,ZZZ
Buick Velite 5,3,ZZZ
Changan CS55 E-Rock,3,ZZZ
Citroen DS3,3,ZZZ
Dongfeng Fengxing Jingye X6,3,ZZZ
Dongfeng Yufeng S16,3,ZZZ
Dorcen G70S,3,SUV
FAW Besturn X40,3,ZZZ
Ford C-Max,3,Van
Ford Hearse,3,ZZZ
Foton Sauvana,3,SUV
FQT Motor EX7,3,ZZZ
Geely King Kong Sedan,3,ZZZ
Haval GWM Wingle 7,3,ZZZ
Honda NSX,3,ZZZ
Isuzu AUV,3,ZZZ
Jac IEV7S,3,ZZZ
JAC Refine S2,3,ZZZ
Leopaard CS10,3,SUV
Levdeo (Letin) i5,3,ZZZ
Linhai Lh50du,3,ZZZ
Luxgen 7 MPV,3,ZZZ
McLaren Speedtail,3,ZZZ
Mercedes Atego,3,ZZZ
Mercedes eVito Tourer,3,ZZZ
Reo UTV,3,ZZZ
Roewe 360,3,ZZZ
Sinogold GM3,3,ZZZ
Smart ForFour,3,ZZZ
Yema EC30,3,ZZZ
Zhi Dou D2 EV,3,ZZZ
Zotye Domy X5,3,ZZZ
Alpina 5,2,ZZZ
Alpina 7,2,ZZZ
Alpina B8,2,ZZZ
Asrton Martin DBS,2,ZZZ
Audi SQ2,2,SUV
Baojun 630,2,ZZZ
BAW Warrior,2,ZZZ
Beijing Xiao Mao,2,ZZZ
BMW Alpina B3,2,ZZZ
Bugatti Divo,2,ZZZ
Busconcept Transit,2,ZZZ
Bygg Bil Factory Five,2,ZZZ
Can-Am Spyder,2,ZZZ
Changan Yuexiang V3,2,ZZZ
Chery eQ,2,ZZZ
Chery Karry K60,2,ZZZ
Chrysler Grand Voyager,2,ZZZ
Citroen C5,2,ZZZ
Citroen Dispatch,2,ZZZ
Citroen DS4,2,ZZZ
DFSK 508,2,ZZZ
Dongfeng E1,2,ZZZ
Dongfeng Fengxing CM7,2,ZZZ
Dongfeng Jungfeng E17,2,ZZZ
Dongfeng T5,2,ZZZ
Donkervoort GTO-JD70,2,ZZZ
DR EVO6,2,ZZZ
DS 5,2,ZZZ
Ford F-350,2,Pickup Truck
Ford unidentified,2,ZZZ
Garia D22,2,ZZZ
Garia Monaco 2+2,2,ZZZ
Geely Vision X1,2,ZZZ
Haima M3,2,ZZZ
Haima V70,2,ZZZ
Hanteng V7,2,ZZZ
Hawtai Santa Fe (Shengdafei),2,ZZZ
Honda Gienia,2,ZZZ
Honda Greiz,2,ZZZ
Hongqi L9,2,ZZZ
Hyunadai Lafesta,2,ZZZ
Hyundai Celesta RV,2,ZZZ
Hyundai Verna RV,2,ZZZ
Isuzu Novo,2,ZZZ
Isuzu NQR,2,ZZZ
Italcar C2C,2,ZZZ
Jiangnan Coupa,2,ZZZ
Jiayuan Eidola,2,ZZZ
KAMAZ 5325,2,ZZZ
KAMAZ 65225,2,ZZZ
LEVC VN5,2,ZZZ
Maserati GranCabrio,2,ZZZ
Maserati Quatttroporte,2,ZZZ
MAZ 6501C5,2,ZZZ
Mazda CX-7,2,ZZZ
McLaren 620,2,ZZZ
McLaren Elva,2,ZZZ
Mercedes M Class,2,ZZZ
Min’an MX-6,2,ZZZ
Mini One,2,ZZZ
Nevs 9-3,2,ZZZ
Nissan Ariya,2,SUV
PAXSTER L,2,ZZZ
Peugeot 207,2,ZZZ
Piaggio Calessino,2,ZZZ
Qiantu K50,2,ZZZ
Renaut Arkana,2,ZZZ
Skoda Yeti,2,ZZZ
SMC 850,2,ZZZ
Ural 5557,2,ZZZ
VM Competicion T4,2,ZZZ
Alpina 8,1,ZZZ
Alpina B5,1,ZZZ
Amatør Bil 356 Speedster,1,ZZZ
Amatør Bil AC Cobra,1,ZZZ
Amatør Bil BMC,1,ZZZ
Amatør Bil HIE 44,1,ZZZ
Amatør Bil Katten,1,ZZZ
Amatør Bil Nostalgi-Racer,1,ZZZ
Amatør Bil Westfield,1,ZZZ
Aston Martin Rapide,1,ZZZ
Aston Martin Speedster,1,ZZZ
Aston Martin Unidentified,1,ZZZ
Audi RS3,1,ZZZ
Audi TTRS,1,ZZZ
Baojun 610,1,ZZZ
Beijing Hyosow H2,1,ZZZ
Beijing Hyosow S3,1,ZZZ
Beijing Weiwang M50F,1,ZZZ
Bentley Continental GT Speed,1,ZZZ
Bisu T5,1,SUV
BMW M2,1,ZZZ
Brilliance V6,1,SUV
Bygg bill Formosa 120GR,1,ZZZ
Cadillac ATS-L,1,ZZZ
Caterham,1,ZZZ
Cf Moto Zforce 1000 Sport,1,ZZZ
Changan Auchan X7,1,ZZZ
Changan Raeton,1,ZZZ
Changan Yuexiang V7,1,ZZZ
Changhe Q35,1,ZZZ
Chevrolet Caprice,1,ZZZ
Chevrolet Various,1,ZZZ
Citroen Ami,1,ZZZ
Citroen C4 Picasso/Spacetourer,1,ZZZ
Cuby Sprinter,1,ZZZ
Dodge Vision,1,ZZZ
Dongfeng Fengdu MX5,1,ZZZ
Dongfeng Fengxing S500,1,ZZZ
Dongfeng Junfeng ER30,1,ZZZ
Dongfeng M5,1,ZZZ
Dongfeng Rich,1,Pickup Truck
Dongfeng S50EV,1,ZZZ
DS 4S,1,ZZZ
DS 5LS,1,ZZZ
DS 6,1,ZZZ
Era Replica Ac Cobra Roadster,1,ZZZ
FAW Bestune X80,1,ZZZ
FAW Jilin Senia R7,1,ZZZ
Fiat Abarth,1,ZZZ
Fiat Spider 124,1,ZZZ
Ford Trucks,1,ZZZ
GAC Aion V,1,ZZZ
Garia G21,1,ZZZ
Geely EC8,1,ZZZ
Geely Emgrand GX9 Pride,1,ZZZ
GMC,1,ZZZ
GMC Hummer EV Pickup,1,ZZZ
Goes Iron,1,ZZZ
Great Wall Voleex C10,1,ZZZ
Haima F5,1,ZZZ
Haval Dargo,1,ZZZ
Hino 700,1,ZZZ
Honda Everus VE1,1,ZZZ
Honda Legend,1,ZZZ
Honda Vamos,1,Van
Hongqi L5,1,ZZZ
Horki 300E,1,ZZZ
Hozon Auto Neta U,1,ZZZ
Hyundai Getz,1,ZZZ
Hyundai H 350,1,ZZZ
Isuzu FVR,1,ZZZ
Italcar L4s,1,ZZZ
JAC Refine M6,1,ZZZ
Jac T6,1,ZZZ
Jinbei Viewpoint,1,ZZZ
Jinma J2,1,ZZZ
JMEV E100B,1,ZZZ
JMEV E160,1,ZZZ
KAMAZ 63502,1,ZZZ
KAMAZ ACA,1,ZZZ
KAMAZ АШ-7,1,ZZZ
Kewet El-jet,1,ZZZ
Khazar LX,1,ZZZ
Khazar SD,1,ZZZ
Lexus RC-F,1,ZZZ
Lifan 820,1,ZZZ
Linktour K-One,1,ZZZ
Long River eCool,1,ZZZ
Lotus,1,ZZZ
Maxus E-deliver 9,1,ZZZ
Mazda6 Ruiwing,1,ZZZ
Mercedes-Benz 124,1,ZZZ
Mercedes Inturo M,1,ZZZ
Mercedes Marco Polo,1,ZZZ
Mercedes SLC-Class,1,ZZZ
Morgan Plus Six,1,ZZZ
Nissan Evalia,1,ZZZ
Nissan NV 300,1,ZZZ
Nissan Pulsar,1,ZZZ
Peugeot iOn,1,ZZZ
Polaris RZR,1,ZZZ
Porsche unidentified,1,ZZZ
Regal Raptor K5h-s,1,ZZZ
Rolls Royce Panthom,1,ZZZ
Rolls Royce unidentified,1,ZZZ
Rolls Royce Wraith,1,ZZZ
Saab 9-3,1,ZZZ
Segway Snarler,1,ZZZ
Songsan SS Dolphin,1,ZZZ
Soueast V5 Lingzhi,1,ZZZ
Ssangyong Musso,1,Pickup Truck
Standard Motor Corp. 302,1,ZZZ
Standard Motor Corp. Jumbo,1,ZZZ
Suzuki Grand Vitara,1,ZZZ
Suzuki Wagon R,1,ZZZ
Tazzari 27,1,ZZZ
Tesla Roadster,1,ZZZ
Toyota Century,1,ZZZ
Toyota Reiz,1,ZZZ
Ural 5302,1,ZZZ
