Model,Sales,Type
Geely Emgrand GS,30333,ZZZ
BMW X6,30322,SUV
VW Virtus,30255,ZZZ
Geely Emgrand S,30227,ZZZ
Ford Transit/Tourneo Courier,30218,ZZZ
Buick Encore,30098,SUV
VW Touareg,29958,SUV
NIO EC6,29954,SUV
Sehol (SOL) E10X,29899,ZZZ
Mini Hatch,29889,ZZZ
Iran Khodro Runna,29688,ZZZ
Subaru WRX,29663,ZZZ
Subaru XV,29579,ZZZ
Jinbei X30,29543,ZZZ
Ford Territory,29506,ZZZ
Dongfeng Fengshen E70,29490,ZZZ
Toyota Allion,29412,ZZZ
Hyundai Staria,29345,ZZZ
Porsche Taycan,29181,ZZZ
Xpeng G3,29091,SUV
GMC Canyon,28992,Pickup Truck
BMW iX3,28989,ZZZ
Mercedes B Class,28979,ZZZ
Ford Everest,28887,SUV
Kia Sedona/Carnival,28741,ZZZ
Opel Grandland X,28618,ZZZ
Renault Kiger,28586,SUV
Volvo S60L,28334,ZZZ
Roewe i6/ei6 MAX,28300,ZZZ
Honda Life,28141,ZZZ
Tata Harrier,28038,SUV
Renault Megane IV,27952,ZZZ
Acura TLX,27945,ZZZ
Fiat Cronos,27887,ZZZ
Nissan Titan,27820,Pickup Truck
Porsche 911,27785,ZZZ
Skoda Rapid,27582,ZZZ
Chevrolet T Series,27311,ZZZ
Lexus IS,27265,ZZZ
Kia KX3,27191,SUV
Lynk & Co 05,26965,ZZZ
Mercedes Vito,26667,ZZZ
Lincoln Nautilus,26603,SUV
Mitsubishi L-300 Pikap,26335,ZZZ
Mazda CX-4,26334,SUV
Toyota Glanza,26326,ZZZ
Hyundai iX25,26277,ZZZ
BMW 1er,26081,ZZZ
Mazda6,25962,ZZZ
Suzuki Ertiga,25945,Van
Wuling Hongguang Plus,25877,ZZZ
SsangYong Korando Sports,25813,ZZZ
Weltmeister EX5,25696,SUV
Subaru Levorg,25624,ZZZ
Hyundai HB20S,25568,ZZZ
Baojun 530,25359,SUV
Lincoln MKC/Corsair,25292,ZZZ
Chevrolet Captiva,25144,SUV
Buick Verano,25123,ZZZ
Mazda6 Atenza,24934,ZZZ
VW Amarok,24889,ZZZ
Saipa 151,24693,ZZZ
Peugeot 108,24548,ZZZ
Peugeot 308,24543,ZZZ
Suzuki Cultus,24509,ZZZ
Dongfeng Fengshen AX7,24425,ZZZ
Subaru Legacy,24348,ZZZ
Porsche Panamera,24341,ZZZ
Renault Megane,24261,ZZZ
Haval Chitu,24237,SUV
Toyota Crown Kluger,24184,ZZZ
Hyundai Santro,24142,ZZZ
VinFast Fadil,24128,ZZZ
Buick Velite 6,24082,ZZZ
Fiat 500L,24001,ZZZ
Isuzu MU-X,23818,SUV
Cadillac CT4,23568,ZZZ
Nissan Micra,23547,ZZZ
Jetour X70,23529,SUV
Lada XRAY,23446,SUV
VW Arteon,23440,ZZZ
Nissan Armada,23417,SUV
Chevrolet Beat,23324,ZZZ
BMW 5er,23290,ZZZ
Chevrolet Camaro,23217,ZZZ
Beijing BJ40,23207,SUV
VW CC,23024,ZZZ
Range Rover Velar,22883,ZZZ
Roewe RX5 MAX,22817,ZZZ
Tata Punch,22571,SUV
Suzuki XL7,22490,ZZZ
Maxus G50,22449,ZZZ
Citroen C4 III,22358,ZZZ
JAC Refine M3,22300,ZZZ
VW ID.4 Crozz,22046,ZZZ
Citroen C4 Cactus,21880,ZZZ
VW Polo Vivo,21877,ZZZ
Volvo S/V60,21855,ZZZ
DS 7 Crossback,21787,SUV
Renault,21762,ZZZ
Nissan Patrol,21702,ZZZ
Dacia Spring,21669,ZZZ
BMW i3,21520,ZZZ
Kia Stinger,21479,ZZZ
Toyota Crown,21411,ZZZ
BYD Song,21410,ZZZ
Beijing X7,21252,SUV
Toyota Agya,21210,ZZZ
Toyota Vios FS,21207,ZZZ
Toyota Yaris Hatch,21126,ZZZ
Smart Fortwo,21124,ZZZ
Chevrolet Onix/Cavalier,21062,ZZZ
Fiat Uno,21032,ZZZ
MG HS,21027,SUV
Suzuki Baleno,20939,ZZZ
Honda N-ONE,20930,ZZZ
Lincoln Navigator,20848,SUV
Citroen Berlingo,20795,ZZZ
Honda Jazz,20755,ZZZ
Nissan NV200,20736,Van
Dongfeng Glory 580 Pro,20549,ZZZ
Maruti Suzuki S-Cross,20389,ZZZ
Ford Taurus,20356,ZZZ
VW ID.4 X,20307,ZZZ
Jetour X90,20261,SUV
Audi A8,20258,ZZZ
Baojun RC-5,20202,ZZZ
BYD Dolphin,20192,ZZZ
GMC Savana,20127,ZZZ
Ford Transit/Tourneo,20083,ZZZ
Toyota Wigo,19982,ZZZ
NIO ES8,19979,SUV
SsangYong Tivoli,19955,SUV
VW Teramont X,19769,ZZZ
Daihatsu Ayla,19660,ZZZ
Polestar 2,19608,ZZZ
Tesla Model S,19519,ZZZ
Genesis G70,19508,ZZZ
Alfa Romeo Stelvio,19473,SUV
Toyota Hiace Van,19452,ZZZ
Cadillac CT6,19429,ZZZ
Renault Kaptur,19389,SUV
Saipa Saina,19319,ZZZ
Honda Insight,19279,ZZZ
Nissan Terra,19248,SUV
BYD Song MAX,19232,ZZZ
Bestune B70,19218,ZZZ
Lincoln Nautilus (translates as Navigator),19188,ZZZ
Ora White Cat,19040,ZZZ
Daihatsu Terios,18995,SUV
Kia Forte Furuidi,18959,ZZZ
Mercedes CLA-Klasse,18949,ZZZ
Toyota Pixis,18901,ZZZ
Tata Tigor,18900,ZZZ
WEY VV6,18813,SUV
Toyota Kluger,18640,ZZZ
Saipa Shahin,18403,ZZZ
Mitsubishi Attrage,18389,ZZZ
Honda WR-V,18374,SUV
Tata Safari,18358,SUV
Bestune T77,18225,SUV
Toyota Innova,18207,ZZZ
GAC Trumpchi GS5,18158,ZZZ
GAC NE Aion V,17956,ZZZ
Volvo V60,17946,ZZZ
VW Fox/CrossFox,17933,ZZZ
Dongfeng Glory S560,17899,ZZZ
Seat Tarraco,17850,SUV
Chrysler 300,17809,ZZZ
Renault Oroch,17787,ZZZ
BMW 2er,17746,ZZZ
Hyundai Alcazar,17708,SUV
Neta U Pro,17684,ZZZ
Kia EV6,17617,SUV
Mitsubishi Pajero,17452,ZZZ
Peugeot 308 II,17436,ZZZ
Venucia Star,17364,ZZZ
Ford Mustang Mach-E,17363,SUV
Dacia Lodgy,17354,Van
Nissan Maxima,17328,ZZZ
Daihatsu Cast,17113,ZZZ
"Ford Transit, Tourneo",17101,ZZZ
Suzuki Every Wagon,17053,ZZZ
VW Viloran,16912,ZZZ
Mercedes EQC,16873,ZZZ
Haval H9,16861,SUV
Suzuki S-Presso,16734,ZZZ
Opel Insignia,16711,ZZZ
Samsung XM3,16535,ZZZ
Jaguar F-Pace,16453,SUV
Geely Borui (GC9),16365,ZZZ
Dodge Journey,16333,ZZZ
Geely Jiaji,16214,ZZZ
Kia Pegas,16057,ZZZ
Dongfeng Fengshen Hyun GS,15883,ZZZ
COS X7 Plus,15792,ZZZ
BYD Qin Pro,15771,ZZZ
Ford Maverick,15608,Pickup Truck
Isuzu TF,15571,ZZZ
Daihatsu Xenia,15555,Van
Geely Icon,15511,SUV
Roewe iMAX 8,15373,ZZZ
Fiat Siena,15355,ZZZ
Suzuki SX4 S-Cross,15259,ZZZ
Chana Raesor M60,15167,ZZZ
Ram ProMaster City,15100,ZZZ
Hyundai La Festa,15089,ZZZ
Dacia Logan,15081,ZZZ
Venucia T60,15076,SUV
Infiniti Q50,15025,ZZZ
Maruti Suzuki Ciaz,14942,ZZZ
Daihatsu Wake,14929,ZZZ
Renault Scenic,14920,ZZZ
Chevrolet Cobalt,14906,ZZZ
Volvo S60,14833,ZZZ
Opel Crossland X,14817,ZZZ
Mitsubishi Delica D5,14790,ZZZ
Daihatsu Thor,14780,ZZZ
Acura ILX,14775,ZZZ
Cowin Xuanjie,14715,ZZZ
Sehol (SOL) X8,14677,ZZZ
Audi Q3 Sportback,14491,SUV
Infiniti QX80,14464,SUV
Renault Master,14457,Van
Buick Encore Plus,14418,ZZZ
GAC Trumpchi GS8,14346,ZZZ
Citroen Jumper,14296,ZZZ
LDV T60,14190,ZZZ
Skoda Kushaq,14013,ZZZ
Mercedes Metris,13978,ZZZ
Audi Q4,13916,ZZZ
Suzuki Jimny Wagon,13903,ZZZ
Hongqi HS7,13899,SUV
Mercedes EQA,13866,ZZZ
GWM Ute,13812,ZZZ
Toyota Aygo II,13724,ZZZ
Honda Shuttle,13636,ZZZ
Chana Oshan X70A,13635,ZZZ
WEY VV5,13604,SUV
Beijing X3,13594,SUV
Land Rover Discovery,13582,SUV
Nissan Urvan,13578,ZZZ
VW Tayron X,13448,ZZZ
Haval F7x,13438,ZZZ
Mini Clubman,13322,ZZZ
Daihatsu Gran Max Minibus,13235,ZZZ
Levdeo (Letin) Mango,13197,ZZZ
Lexus LX,13108,SUV
Peugeot,13078,ZZZ
Roewe RX3,13049,SUV
Dongfeng Glory 580,13044,ZZZ
Chevrolet Spin,13005,ZZZ
Honda BR-V,12992,SUV
Dongfeng Fengshen Hyun Max,12927,ZZZ
Suzuki Ravi,12923,ZZZ
Changan CS85 Coupe,12848,ZZZ
Ford Fusion,12842,ZZZ
Hyundai,12753,ZZZ
Peugeot 408,12706,ZZZ
DS 3 Crossback,12611,SUV
BMW 3 Series GT,12573,ZZZ
Hyundai Bayon,12514,SUV
Toyota Esquire,12482,ZZZ
VW Tiguan X,12472,ZZZ
Toyota Yaris Sedan,12436,ZZZ
